Gene	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4
FEX_0002324	2925.87	1627.74	405.63	1276.43	1457.88	1156.86	1317.25	1211.12
FEX_0002325	680.63	395.70	231.37	472.80	1081.10	778.16	1002.26	790.89
FEX_0002326	649.96	496.00	347.42	705.51	505.00	498.08	482.01	401.00
FEX_0002327	0.00	0.00	4.00	5.00	0.00	0.00	2.00	0.00
FEX_0002328	31.00	21.00	39.00	32.00	10.00	21.00	8.00	16.00
FEX_0002329	1372.00	1600.00	1455.00	1741.00	1276.00	1566.00	1257.00	970.00
FEX_0002330	14.00	29.00	19.00	17.00	19.00	58.01	15.00	26.00
FEX_0002331	45.08	96.77	86.73	118.50	100.50	348.64	112.59	189.99
FEX_0002332	73.76	140.69	424.68	234.40	54.95	70.67	18.00	158.79
FEX_0002333	0.00	2.00	20.00	1.00	0.00	2.11	0.00	5.00
FEX_0002334	4.00	1.00	7.00	5.00	1.00	0.00	2.00	1.00
FEX_0002335	16.00	3.00	17.00	4.00	2.00	1.00	6.00	1.00
FEX_0002336	36.00	100.00	214.84	117.00	52.00	76.00	27.00	61.00
FEX_0002337	561.73	340.62	180.56	218.45	324.30	311.55	317.03	274.97
FEX_0002338	1713.27	1957.38	2212.44	1752.55	1576.70	1317.45	1373.97	1136.03
FEX_0002339	12.00	5.00	17.16	17.00	1.00	9.00	17.00	5.00
FEX_0002340	49.00	90.00	59.00	75.00	69.00	143.00	56.00	72.00
FEX_0002341	3.00	2.00	7.00	5.00	0.00	2.00	3.00	3.00
FEX_0002342	0.00	0.00	2.00	0.08	0.00	4.00	0.00	0.00
FEX_0002343	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0002345	7.00	1.00	0.00	1.92	16.00	0.00	2.00	7.00
FEX_0002346	0.00	0.00	0.00	1.00	0.00	0.00	0.00	1.00
FEX_0002347	5.00	4.00	22.00	30.00	1.00	35.45	29.00	17.00
FEX_0002348	35.95	0.00	16.43	11.89	101.85	145.09	0.00	0.00
FEX_0002349	161.05	260.00	314.57	264.11	96.15	104.67	165.00	159.00
FEX_0002350	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002351	0.00	10.00	1.00	0.00	121.00	6.00	24.00	1.00
FEX_0002352	10.00	2.00	22.73	26.89	1.00	12.05	10.33	6.25
FEX_0002353	4.15	3.02	17.17	5.59	6.70	5.49	26.57	10.35
FEX_0002354	31.00	24.00	50.19	44.00	26.00	28.00	7.00	22.00
FEX_0002355	0.00	10.18	17.07	4.14	16.47	17.42	10.17	8.40
FEX_0002356	475.00	464.00	2755.00	2389.00	1130.00	1127.00	2913.00	1352.00
FEX_0002357	716.00	345.00	301.00	220.00	120.00	202.00	109.00	91.00
FEX_0002358	3.00	1.00	6.00	0.00	0.00	2.00	0.00	3.00
FEX_0002359	28.00	24.74	67.24	24.79	26.00	27.65	38.00	8.00
FEX_0002360	1413.20	847.26	1369.76	690.21	651.00	447.35	736.00	286.00
FEX_0002361	366.71	243.49	171.39	232.97	497.68	474.19	877.40	1179.18
FEX_0002362	4.64	2.00	0.00	3.01	0.00	2.01	6.01	0.00
FEX_0002363	147.00	108.00	360.00	145.00	158.00	96.00	93.00	87.00
FEX_0002364	155.97	252.10	465.52	251.87	123.67	240.41	97.74	73.17
FEX_0002365	397.03	548.95	625.48	542.13	312.33	917.61	319.27	324.83
FEX_0002366	868.48	494.78	274.49	487.46	920.25	697.32	1297.52	979.41
FEX_0002367	56.52	68.22	65.51	128.54	174.75	83.68	186.48	120.59
