Gene	OW1	OW2	OW3	OW4	YW2	YW3	YW4	YW5
FEX_0010247	0.00	0.00	0.00	0.00	0.00	0.00	0.00	2.68
FEX_0010249	0.99	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010250	1.00	5.00	3.00	0.00	0.00	0.00	7.00	0.00
FEX_0010251	1.35	1.00	7.00	3.00	0.00	12.13	9.03	1.52
FEX_0010252	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0010253	0.00	0.89	0.91	1.66	0.00	1.94	0.00	1.48
FEX_0010256	1.00	1.01	0.00	0.00	4.00	1.00	1.00	0.00
FEX_0010257	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010258	4.00	3.00	10.00	1.00	1.00	0.00	2.00	2.00
FEX_0010259	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0010260	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
FEX_0010261	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0010262	0.00	1.00	0.00	21.00	0.00	0.00	5.00	2.00
FEX_0010263	3.00	4.37	13.42	2.00	2.00	15.54	3.12	3.00
FEX_0010264	3.17	13.89	20.34	12.54	1.00	10.25	4.65	1.47
FEX_0010266	20.88	41.00	30.00	58.75	8.00	16.00	31.73	8.92
FEX_0010269	35.00	39.80	23.95	81.86	26.61	36.95	50.94	9.75
FEX_0010270	0.00	0.00	0.00	0.00	0.00	0.00	2.00	0.00
FEX_0010271	8.00	4.00	5.00	4.00	3.47	10.79	4.00	4.00
FEX_0010272	2.00	1.00	0.00	1.00	1.00	2.00	1.00	1.00
FEX_0010273	0.00	0.00	15.20	1.00	0.00	3.00	0.00	1.00
FEX_0010274	22.34	38.03	79.55	42.52	6.01	39.32	33.21	16.14
FEX_0010275	0.00	0.00	1.00	0.00	0.00	0.00	3.00	0.00
FEX_0010276	0.00	5.88	1.99	1.23	1.29	4.64	1.65	2.00
FEX_0010277	0.00	1.00	5.07	1.19	0.00	1.00	2.05	2.04
FEX_0010279	2.00	1.00	0.00	0.00	3.00	0.00	0.00	0.00
FEX_0010280	2.18	6.28	8.33	8.90	3.03	5.03	5.22	18.52
FEX_0010281	5.37	11.61	18.21	7.56	3.00	8.63	6.01	5.49
FEX_0010282	9.69	16.95	22.70	11.16	2.00	62.90	18.78	81.04
FEX_0010283	0.00	0.00	0.00	0.00	0.00	0.00	0.00	1.00
FEX_0010284	0.00	0.00	0.37	0.00	0.00	0.00	0.00	0.00
