Gene	OQ1	OQ2	OQ3	OQ4	YQ1	YQ2	YQ3	YQ4
FEX_0002308	9.00	0.00	3.00	29.00	4.00	0.00	0.00	9.00
FEX_0002309	46.00	12.00	16.00	20.00	9.00	11.00	2.00	11.00
FEX_0002310	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0002311	33.06	12.00	50.27	44.00	15.00	11.00	20.90	16.97
FEX_0002312	0.00	1.00	4.00	6.00	0.00	0.00	0.00	2.00
FEX_0002313	20.00	17.00	51.00	36.00	8.00	30.00	7.00	13.00
FEX_0002314	1073.87	1202.64	902.18	1437.84	875.07	1300.54	1175.42	1663.48
FEX_0002315	1650.06	1029.89	664.50	921.35	2634.28	2143.32	1690.98	2270.72
FEX_0002316	1035.04	742.78	617.28	948.97	907.01	1040.92	700.93	831.87
FEX_0002317	547.90	479.33	411.22	513.69	480.71	610.75	406.10	549.41
FEX_0002318	11.58	9.56	87.37	24.31	14.27	37.07	11.67	19.82
FEX_0002319	16.06	9.25	36.10	21.27	8.18	19.56	9.44	15.54
FEX_0002320	10.35	3.19	16.29	11.42	3.55	11.38	5.89	10.64
FEX_0002321	1.00	6.00	24.00	4.00	0.00	0.00	1.00	0.00
FEX_0002322	0.00	4.00	7.35	7.00	3.00	5.02	2.00	9.06
FEX_0002323	944.07	651.82	397.42	618.71	705.28	662.32	890.80	690.51
FEX_0002324	2925.87	1627.74	405.63	1276.43	994.35	732.54	445.50	1107.42
FEX_0002325	680.63	395.70	231.37	472.80	461.10	426.92	338.49	531.14
FEX_0002326	649.96	496.00	347.42	705.51	607.00	614.08	640.00	725.00
FEX_0002327	0.00	0.00	4.00	5.00	2.00	0.00	0.00	1.00
FEX_0002328	31.00	21.00	39.00	32.00	13.00	5.00	3.00	8.00
FEX_0002329	1372.00	1600.00	1455.00	1741.00	1893.00	2875.00	3231.00	2721.00
FEX_0002330	14.00	29.00	19.00	17.00	4.00	29.00	15.00	24.00
FEX_0002331	45.08	96.77	86.73	118.50	163.94	186.30	52.44	200.00
FEX_0002332	73.76	140.69	424.68	234.40	74.32	372.79	242.44	370.37
FEX_0002333	0.00	2.00	20.00	1.00	4.00	15.00	5.00	13.00
FEX_0002334	4.00	1.00	7.00	5.00	2.00	1.00	2.00	5.00
FEX_0002335	16.00	3.00	17.00	4.00	2.00	5.00	3.00	16.00
FEX_0002336	36.00	100.00	214.84	117.00	132.00	322.00	138.00	372.85
FEX_0002337	561.73	340.62	180.56	218.45	365.67	279.53	185.45	191.79
FEX_0002338	1713.27	1957.38	2212.44	1752.55	1659.33	2209.47	1263.55	2212.21
FEX_0002339	12.00	5.00	17.16	17.00	4.00	2.00	5.00	27.15
FEX_0002340	49.00	90.00	59.00	75.00	44.00	73.00	79.00	58.00
FEX_0002341	3.00	2.00	7.00	5.00	5.00	22.00	13.00	9.00
FEX_0002342	0.00	0.00	2.00	0.08	0.00	0.00	0.00	0.00
FEX_0002343	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
