Gene	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0008437	0.00	0.00	0.00	3.00	0.00	0.00	0.00	0.00
FEX_0008438	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
FEX_0008439	17.00	94.00	62.00	66.00	218.00	88.00	119.00	221.00
FEX_0008440	1461.00	1468.00	739.00	1381.00	1743.00	1263.00	1460.00	413.00
FEX_0008441	0.00	1.00	0.00	0.00	0.00	1.00	0.00	0.00
FEX_0008442	572.00	577.00	302.00	496.00	692.00	508.00	382.00	535.00
FEX_0008443	3432.67	3639.06	3681.92	4225.05	7526.99	8298.90	7645.71	22567.10
FEX_0008444	511.17	570.43	482.85	511.18	954.10	1253.49	974.52	938.31
FEX_0008445	122.16	213.51	116.24	197.77	441.91	100.61	131.76	756.59
FEX_0008446	9080.00	16190.00	9853.00	15841.00	26804.00	13746.98	10464.00	24721.00
FEX_0008447	1.00	0.00	0.00	0.00	6.00	2.00	1.00	6.00
