cluster	EQ1	EQ2	EQ3	EQ4	EQ5	EQ6	EW1	EW2	EW3	EW4	EW5	EW6	OQ1	OQ3	OQ4	OQ5	OW1	OW4	OW5	OW7
FEX_0012971	1.28	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012972	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012973	0	0.34	0	0.16	0	2.54	0.44	0.33	0.22	1.59	0	1.56	0.06	0	0	0	0	0.23	NA	0.17
FEX_0012974	0.08	NA	0	NA	NA	4.39	0	0	NA	0	0	NA	0.08	0	NA	0.33	NA	NA	0	0.35
FEX_0012975	0.2	0.46	0.13	0.98	0	0.94	0.19	0.21	0.34	0	0.16	0.39	0.28	0.46	0	0.14	0	0.1	0.08	0.32
FEX_0012976	0	0.31	0.08	0.11	0	3.3	0.19	0.29	0.16	0.49	0.07	0.46	0.27	0	0	0.03	0.05	0.14	0.24	0.18
FEX_0012977	0	NA	NA	0	NA	0	0	NA	NA	NA	NA	NA	0	0	NA	NA	0	0	NA	0
FEX_0012978	NA	NA	NA	NA	0.37	4.27	NA	0	0.11	NA	0.7	0	0.02	0	0	NA	0	NA	0.08	0.22
FEX_0012979	NA	NA	NA	NA	0.37	4.27	NA	0	0.11	NA	0.7	0	0.02	0	0	NA	0	NA	0.08	0.22
FEX_0012980	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012981	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012985	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
FEX_0012986	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA	NA
FEX_0012987	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0.1	NA	NA	NA	NA
FEX_0012989	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012990	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0012992	0	NA	0	NA	NA	NA	NA	0.27	NA	NA	NA	NA	NA	NA	NA	0	NA	0.24	NA	0
FEX_0012995	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	0
FEX_0012997	0.16	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0
FEX_0012999	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
FEX_0013000	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
FEX_0013001	0	0	0	0	NA	0	0	0	0	0.54	0	0	2.44	0	0.12	NA	0	0	NA	0
FEX_0013002	0	2.82	0	NA	NA	NA	0	0.4	0	0	0	0	0	0	NA	0	NA	0	NA	0
FEX_0013005	NA	NA	NA	NA	NA	1.41	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA
FEX_0013006	NA	NA	NA	NA	NA	NA	0	0.06	0.31	NA	NA	NA	0	0	NA	NA	0.08	NA	NA	0
FEX_0013007	NA	NA	NA	NA	NA	NA	0	0.06	0.31	NA	NA	NA	0	0	NA	NA	0.08	NA	NA	0
FEX_0013008	NA	NA	NA	NA	NA	1.56	0.15	0	NA	0	0.6	NA	NA	NA	NA	NA	0	NA	NA	0
FEX_0013010	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	0
FEX_0013015	NA	NA	NA	0.87	NA	NA	0	NA	NA	NA	NA	0	NA	NA	NA	NA	0	NA	NA	0
FEX_0013016	0	NA	NA	2.42	0	0	0	0.42	0	NA	0	NA	0	0	NA	NA	0	0	0	0
FEX_0013017	0	NA	0.17	0	NA	1.89	0	0	0	NA	0.48	NA	0.71	0	NA	0	0	NA	0	0
FEX_0013018	0.13	0	NA	0.68	NA	4.19	0.09	0.61	0	0.45	0.4	0.26	0.13	0	0	0	0	0	NA	0.34
FEX_0013019	0.24	0.07	0	0.42	0.25	0	12.6	15.76	14.22	25	0	33.33	0.51	1	0	100	14.31	0	0	8.32
FEX_0013021	NA	0	NA	NA	NA	NA	NA	0	0.69	0	NA	0.74	NA	NA	NA	NA	NA	0	0.75	0
FEX_0013022	0	0.4	0	1.04	NA	NA	50.41	31.18	33.18	50	NA	50	0.12	1.77	NA	100	NA	0	0.19	30.36
FEX_0013023	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0013024	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA
FEX_0013025	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	0	0.49	NA	NA	NA	NA	NA	0	NA	3.12
FEX_0013026	0.45	NA	0	0.14	0.62	0	3.7	0.33	0.05	0.29	0.59	0	0	0.53	0	0.66	0	0.46	0.1	0
FEX_0013027	0.24	0	0.84	0.14	0.41	0	1.07	0	0.09	0.28	0.59	0.41	0.36	0.27	0	0.29	0	0.33	0.5	0
FEX_0013028	NA	NA	NA	NA	50	NA	NA	0	NA	NA	NA	NA	35	NA	NA	100	NA	0	NA	0
FEX_0013029	NA	NA	NA	NA	50	NA	NA	0	NA	NA	NA	NA	35	NA	NA	100	NA	0	NA	0
FEX_0013030	100	NA	NA	NA	NA	NA	50	0	NA	NA	NA	NA	0.18	NA	0	NA	NA	NA	NA	0
FEX_0013031	100	NA	NA	NA	NA	NA	25	0	NA	NA	NA	NA	0.18	NA	0	NA	NA	NA	NA	0
FEX_0013033	0	NA	NA	0	NA	NA	0	NA	NA	0	NA	NA	1.21	0	NA	NA	NA	NA	NA	2.78
FEX_0013034	0	0.44	0	0	0.19	NA	0	0.36	0	0	NA	0	1.21	0	0	NA	NA	NA	NA	1.29
FEX_0013036	0.17	13.44	0.35	0.14	0	1.68	3.31	5.21	0.16	14.38	0.19	0.42	2.71	2.46	0.03	0	0.03	0.08	0.08	3.72
FEX_0013037	0.19	0.12	0.53	0.16	0.28	1.35	0.26	0.25	1.86	0.29	0.48	0.5	0.29	0.07	0.05	0.97	0.22	0.39	0.26	0.17
FEX_0013038	0.2	NA	0	NA	NA	1.03	0.28	0.32	NA	NA	0	NA	NA	0	NA	NA	NA	0	0.23	0
FEX_0013039	0.6	0.28	0	0	NA	NA	0	0.26	0.32	NA	NA	0.7	NA	0	0	NA	0.14	0.3	0.17	0
FEX_0013040	NA	NA	0	NA	NA	NA	0.06	0	0	NA	0	NA	NA	0	NA	NA	0	0	0	0.65
FEX_0013041	2.67	39.88	0.14	4.43	NA	2.48	0.19	39.76	0.13	66.67	33.33	50	1.36	32.8	NA	NA	0.07	44.02	0.56	39.8
