cluster	color	OQ1	OQ2	OQ3	OQ4	OW1	OW2	OW3	OW4	YQ1	YQ2	YQ3	YQ4	YW2	YW3	YW4	YW5
FEX_0001691	grey	1.56024766824333	2.00417905717929	1.76814960358892	1.92861865194525	2.73760900334375	2.55022611590864	2.74727091425549	2.58248697812686	1.78842056796254	1.96009478404727	1.93296963777958	2.2213750375685	2.57794151575519	2.36837283353205	2.11021320034659	2.58625914404829
FEX_0001694	grey	3.36901848329792	3.41707073081845	3.43752931090955	3.52488885400471	3.19088778832803	3.2244602031621	3.27032910645712	3.32467624375441	3.23435539571659	3.34073941262504	3.20761263258949	3.31491301306514	3.44105891508729	3.19622113430339	3.39618483983861	2.99272776453369
FEX_0001695	blue	0.0392207131532813	0.22314355131421	1.10525683138678	0.314810739840034	NA	0.0769610411361284	NA	NA	0.173953307123438	0.553885113226438	0.139761942375159	0.104360015324243	0.470003629245736	0.198850858745165	0.048790164169432	0.717839793150317
FEX_0001696	grey	2.10413415427021	2.14593128294867	2.48407296903942	2.29656702066848	2.30058309032337	2.16561923792089	2.02154756326093	2.07819075977818	1.98513086220859	2.00148000021012	1.83418018511201	2.82494395257371	2.57794151575519	2.19053558918542	2.29455292129678	2.34755845863678
FEX_0001697	blue	0.131028262406404	0.598836501088704	0.871293365943419	0.500775287912489	0.215111379616945	0.198850858745165	0.0953101798043249	0.048790164169432	0.806475865866949	1.17248213723457	0.548121408509688	0.940007258491471	1.20896034583698	0.470003629245736	0.343589704390077	1.96150224381515
FEX_0001698	lavenderblush3	2.46214966266538	2.66792241001143	2.24283508858827	2.61373952163097	2.95438931001961	2.97246364661464	2.64971462408925	2.52412736294128	2.30956070673047	2.20937271127187	2.45958884180371	2.30558060197384	2.28238238567653	2.55100645149252	2.75366071235426	1.99197551589856
FEX_0001699	grey	2.34084380511114	2.97297528643137	2.15871472257434	2.44581926107995	2.58097411853423	2.60046499042227	2.45787797740008	2.38047163165112	1.78339121955754	2.22245904851476	1.33500106673234	2.09556092355972	2.6253929674212	1.76473079684014	2.05923883436232	1.09861228866811
FEX_0001700	grey	1.45161382724053	1.89311196348834	1.71559810826249	2.4466854369678	1.9213246735827	2.46640317822344	1.69927861643389	1.76814960358892	0.970778917158225	1.63510565918268	1.33500106673234	1.44220199305819	2.13298230860787	1.84530023615608	2.13416644136908	2.08567209143047
FEX_0001704	grey	0.0582689081239758	0.00995033085316809	0.113328685307003	0.0295588022415444	0.0676586484738149	0.113328685307003	0.165514438477573	NA	0.048790164169432	0.00995033085316809	0.113328685307003	0.157003748809665	0.00995033085316809	0.0861776962410524	0.104360015324243	0.0676586484738149
FEX_0001705	darkgrey	0.231111720963387	0.182321556793955	1.72988406550997	0.536493370514568	0.2390169004705	0.336472236621213	0.19062035960865	0.300104592450338	0.322083499169113	0.418710334858185	0.215111379616945	0.364643113587909	0.46373401623214	0.322083499169113	0.314810739840034	0.887891257352457
FEX_0001706	darkmagenta	4.21611961914802	4.26127043353808	4.22537282462851	3.9596696588955	3.86430226921673	3.60304919750874	3.22724074119983	3.15316328150282	4.26773748827175	4.03759782833621	3.6122683517421	4.14170513358194	4.07073469658297	4.0102380529251	3.73552446193698	4.16278172377533
FEX_0001708	grey	0.932164081030445	1.22671229129543	0.792992515529661	1.34286480319255	0.0953101798043249	0.678033542749897	0.548121408509688	0.165514438477573	0.113328685307003	0.22314355131421	0.0198026272961797	0.19062035960865	0.0198026272961797	0.104360015324243	0.378436435720245	0.27002713721306
FEX_0001711	violet	0.828551817566148	0.932164081030445	1.02245092770255	0.756121979721334	0.916290731874155	1.0952733874026	0.518793793415168	0.683096844706444	0.887891257352457	0.89199803930511	1.67709656090792	0.756121979721334	1.08180517035173	1.01523067972906	0.854415328156068	1.01884732019925
FEX_0001712	darkgrey	0.148420005118273	0.048790164169432	0.246860077931526	0.104360015324243	0.0582689081239758	0.0392207131532813	0.0953101798043249	0.148420005118273	0.173953307123438	0.0769610411361284	0.0392207131532813	0.131028262406404	0.0295588022415444	0.254642218373581	0.104360015324243	0.254642218373581
FEX_0001713	grey	3.27374272630904	4.10758978897212	4.97597483383263	4.76796907629318	4.09534406255518	5.74075707744756	3.40751074371875	3.55019193434004	5.53049994251292	4.91844690310135	4.17761283140511	4.74458424177077	3.78214208457363	4.06250983870208	3.60848251704191	3.7220724214697
FEX_0001715	violet	2.24070968927596	2.43185742869818	2.5152741864044	2.32922702394047	2.55567572067621	2.90361698464619	2.44495233428097	2.28543893415908	2.78993736057439	2.81120829320484	4.87991898302797	2.72457950305342	3.03158192644769	2.85761897142436	2.75684036527164	3.27412129909418
FEX_0001718	lavenderblush3	2.89701630061483	3.14759462286324	2.94549105711724	3.21847574484686	3.2092294478164	3.60114053980593	3.2244602031621	3.31890213893533	2.86105737022739	2.9871959425317	2.80154054418955	2.79116510781272	3.11794990627824	2.83085763036376	3.64100137386947	2.80819714970715
FEX_0001719	lavenderblush3	0.27002713721306	NA	0.371563556432483	0.262364264467491	0.0295588022415444	0.048790164169432	0.0582689081239758	NA	NA	0.198850858745165	0.0582689081239758	NA	0.198850858745165	0.0676586484738149	0.207014169384326	0.444685821261446
FEX_0001725	grey	0.398776119957368	0.46373401623214	0.300104592450338	0.300104592450338	0.3293037471426	0.598836501088704	0.262364264467491	0.60431596685333	0.3293037471426	0.27763173659828	0.215111379616945	0.385262400790645	0.494696241836107	0.506817602368452	0.470003629245736	0.667829372575655
FEX_0001740	grey	2.2181159363676	1.08180517035173	3.05352937228021	2.61227324570844	2.09433015417359	1.52169899812609	2.19053558918542	2.47317139356958	1.8213182714696	1.66959183525385	1.44220199305819	2.19277022698684	0.72270598280149	1.92861865194525	2.10169215061466	2.76506045581899
FEX_0001742	grey	2.25339484880327	2.91777073208428	2.43624147780672	2.80396625793204	2.49897390699944	2.89756802476676	2.14241634084122	1.96009478404727	2.58701187272515	2.5360749363624	2.69327491552006	2.71931979336044	3.23001356927866	3.02383370366487	2.50061594349318	2.11745960886736
FEX_0001743	blue	0.887891257352457	1.08180517035173	1.24415459395877	1.35840915763035	0.8754687373539	1.17557332980424	0.989541193613748	1.23837423104327	1.12817109090965	1.41098697371026	1.31640823365572	1.64093657949347	1.97962120639763	1.33236601909433	1.53255686809814	1.72988406550997
FEX_0001744	pink	NA	0.2390169004705	0.157003748809665	0.19062035960865	0.0676586484738149	0.0295588022415444	0.262364264467491	0.157003748809665	NA	NA	NA	0.0769610411361284	NA	NA	NA	0.048790164169432
FEX_0001753	grey	0.438254930931155	0.113328685307003	0.770108221696074	1.17248213723457	0.371563556432483	0.65232518603969	1.07158361628019	1.02245092770255	0.482426149244293	0.322083499169113	0.231111720963387	0.418710334858185	0.198850858745165	0.357674444271816	0.810930216216329	NA
FEX_0001754	grey	0.231111720963387	0.165514438477573	0.343589704390077	0.231111720963387	NA	0.198850858745165	0.048790164169432	0.231111720963387	0.148420005118273	0.131028262406404	NA	0.246860077931526	0.0295588022415444	0.0676586484738149	0.139761942375159	0.22314355131421
FEX_0001755	greenyellow	0.371563556432483	0.300104592450338	0.385262400790645	0.548121408509688	0.307484699747961	0.841567185678219	0.506817602368452	0.398776119957368	0.0861776962410524	0.2390169004705	0.27002713721306	0.457424847038875	0.392042087776024	0.173953307123438	0.542324290825362	0.285178942233662
FEX_0001756	blue	0.0676586484738149	0.231111720963387	0.27002713721306	0.307484699747961	0.0953101798043249	0.165514438477573	0.148420005118273	0.104360015324243	0.0676586484738149	0.048790164169432	0.0392207131532813	0.157003748809665	0.048790164169432	0.122217632724249	0.131028262406404	0.405465108108164
FEX_0001757	darkgrey	0.86288995514704	0.559615787935423	2.60933422816305	2.16332302566054	0.307484699747961	0.797507195884188	0.27763173659828	0.198850858745165	0.810930216216329	0.587786664902119	2.15059873599616	0.657520002916794	0.482426149244293	0.900161349944271	1.1999647829284	0.845868267577609
FEX_0001761	lavenderblush3	3.81924960527579	3.72954143583283	3.43204984514492	4.0524803581234	4.56341025173986	4.68435098386253	4.763199050213	5.13119964349635	3.82450240789865	3.58961145245527	3.67351197698281	3.55248682920838	3.55047908437791	3.88547367019461	4.34315586028489	2.89092715918786
FEX_0001762	lavenderblush3	4.68314922730468	4.66729955745364	4.34937430239863	4.70247836845509	5.36138605801502	5.18677109180312	5.39657773571556	5.78287088097516	4.70745597952884	4.37927284647726	4.98995628288785	4.45748191308849	4.35105183037445	4.74658293893842	5.2329785252397	3.13070013396448
FEX_0001763	blue	0.300104592450338	0.307484699747961	1.16002091679675	0.73716406597672	0.425267735404344	0.3293037471426	0.536493370514568	0.506817602368452	0.647103242058539	0.542324290825362	0.819779831493311	1.18784342239605	1.69193913394584	1.20297230399235	0.920282753143692	1.48613969608961
FEX_0001764	blue	1.48160454092422	1.96571277635149	1.87333945622048	1.74221902366792	1.84687876844913	1.70110510095992	1.23837423104327	1.41585316336144	1.63705307946707	1.81645208181843	1.56861591791385	1.8099267731835	2.41769790009455	1.83098018238134	1.55180879959746	1.94448055624572
FEX_0001765	pink	1.63705307946707	2.04898233419513	2.10291389786498	2.19611284848353	2.50634193050807	2.29253475714054	2.13888900032326	2.33214389523559	2.50959926237837	2.28136145654242	2.26799364822443	2.50225528812261	2.52091708731103	2.57031952763613	2.57718192589717	1.95302761682418
FEX_0001766	lavenderblush3	1.34807314829969	1.4747630091075	1.42069578783722	1.68824909285839	2.08567209143047	2.06812778177956	1.78674692740451	1.65249740189455	1.28923264827676	1.43270073393405	1.3244189574018	1.53471436623816	1.72097928716701	1.50407739677627	1.78170913337455	1.28923264827676
FEX_0001768	honeydew1	1.82454929205105	2.31944221006047	2.08815348228186	2.22462355152433	2.39059597031676	2.44495233428097	1.79342474854712	2.13060982825424	1.99333884262642	2.19277022698684	1.65632149833295	1.94448055624572	2.46129678414887	2.47401420862158	2.1540850846756	3.29879544804407
FEX_0001769	grey	1.08518926833597	1.36863942588117	1.02604159583327	1.30833281965018	1.41342302850814	2.1150499691472	1.07500242302898	1.77833644889591	0.858661619037519	0.89199803930511	0.662687973075237	0.978326122793608	1.32175583998232	1.45395300959371	1.42551507427317	1.53686721959926
FEX_0001771	grey	0.27763173659828	0.0582689081239758	0.131028262406404	0.29266961396282	0.173953307123438	0.148420005118273	0.0769610411361284	0.0582689081239758	0.148420005118273	0.0582689081239758	0.113328685307003	0.048790164169432	0.0953101798043249	0.231111720963387	0.139761942375159	0.165514438477573
FEX_0001772	greenyellow	0.0392207131532813	0.048790164169432	0.048790164169432	NA	NA	0.173953307123438	0.0953101798043249	0.0676586484738149	NA	0.0198026272961797	0.0392207131532813	NA	NA	0.0392207131532813	0.0953101798043249	NA
FEX_0001774	salmon4	2.14241634084122	2.04640168760164	1.83577635464483	2.19277022698684	2.58625914404829	3.05541527571516	2.53449014997683	2.10657020906809	3.72978144543436	3.44489523692787	4.36754731340905	3.55934008275895	2.58625914404829	4.16106819426501	4.77912349311153	4.32717438312573
FEX_0001775	grey	2.16791018966744	2.35422832614588	2.49732916978656	2.60564826748413	2.63834278867739	2.23323501485925	2.26176309847379	2.44927947214485	1.52169899812609	1.82454929205105	1.20297230399235	1.40609698841607	2.21156569460688	1.30019166206648	1.00063188030791	2.80578168959555
FEX_0001776	lavenderblush3	3.00071981506503	3.18055071054653	3.10995341764401	3.34638914516716	3.36314931402463	3.30798499993998	3.2104403460471	3.15359035816957	3.10816770288378	2.98618686071046	3.02868337369368	3.09602999486936	3.09783749649114	2.9871959425317	3.2511493854185	2.67690347210537
FEX_0001778	lavenderblush3	3.50645789231965	3.68737832798767	3.30137704637994	3.66356164612965	3.8155121050473	3.8271184983377	3.69957208365268	3.97387040875423	3.68887945411394	3.67351197698281	3.52252966682968	3.49377656295525	3.78282506695646	3.49408037580887	3.75443308485338	2.65324196460721
FEX_0001784	salmon	0.2390169004705	0.0769610411361284	0.157003748809665	0.553885113226438	0.0769610411361284	0.2390169004705	0.157003748809665	0.207014169384326	0.048790164169432	0.0392207131532813	0.0953101798043249	0.104360015324243	0.0392207131532813	0.29266961396282	0.104360015324243	0.19062035960865
FEX_0001786	grey	0.2390169004705	0.048790164169432	0.165514438477573	0.254642218373581	0.122217632724249	0.165514438477573	0.398776119957368	0.29266961396282	0.0392207131532813	0.0953101798043249	0.0295588022415444	0.0861776962410524	0.0861776962410524	0.148420005118273	0.198850858745165	0.139761942375159
FEX_0001788	grey	0.148420005118273	0.0953101798043249	0.207014169384326	0.0861776962410524	NA	0.148420005118273	0.198850858745165	0.113328685307003	0.207014169384326	0.173953307123438	0.048790164169432	0.198850858745165	0.00995033085316809	0.113328685307003	0.0769610411361284	0.165514438477573
FEX_0001789	grey	1.88706964903238	1.91102289005487	1.79840401194672	2.07693841146172	2.71336936257981	1.81482474215905	2.42568729012803	2.24389609664537	2.02287119019144	2.53844741671603	2.15986879079245	1.44926916028128	1.54115907168081	1.39624469197306	2.17133680638409	2.1540850846756
FEX_0001804	darkorange2	0.246860077931526	0.0861776962410524	0.19062035960865	0.314810739840034	0.157003748809665	0.307484699747961	0.157003748809665	0.29266961396282	0.048790164169432	0.0392207131532813	0.0295588022415444	0.0676586484738149	NA	0.048790164169432	0.2390169004705	NA
FEX_0001805	darkmagenta	NA	0.425267735404344	0.19062035960865	0.29266961396282	NA	NA	0.438254930931155	0.431782416425538	0.0861776962410524	0.148420005118273	0.0953101798043249	0.0769610411361284	NA	NA	0.231111720963387	NA
FEX_0001807	darkred	0.148420005118273	0.104360015324243	NA	0.0953101798043249	0.285178942233662	0.104360015324243	0.113328685307003	0.262364264467491	0.0953101798043249	0.0392207131532813	NA	0.122217632724249	NA	NA	0.0392207131532813	NA
FEX_0001813	lavenderblush3	2.44495233428097	2.33117254984596	2.62828523263335	2.54631527791664	2.3887627892351	2.17475172148416	1.94304891677428	1.93441576962958	2.35612585992208	2.55955019278377	2.31944221006047	2.37397508908072	2.71469474382088	2.50634193050807	2.36368019235386	3.2744997286162
FEX_0001815	darkgrey	NA	0.122217632724249	0.131028262406404	0.048790164169432	NA	0.0392207131532813	0.0392207131532813	NA	0.0676586484738149	NA	0.0392207131532813	0.0295588022415444	0.0295588022415444	0.0295588022415444	0.131028262406404	0.0676586484738149
FEX_0001833	darkmagenta	1.57691472072854	1.77155676191054	2.52812576890798	1.84371920815877	1.25276296849537	1.06125650212434	0.774727167552368	0.837247524533702	2.87751164216656	3.08739946207981	3.2236643416	3.05776766447344	2.81839825827108	3.30321697330195	1.96571277635149	3.75957088223647
FEX_0001836	blue	0.182321556793955	0.0953101798043249	0.683096844706444	0.29266961396282	0.0953101798043249	0.148420005118273	0.0861776962410524	0.0582689081239758	1.08856195281461	1.51951320490611	1.05431202977153	1.13462272619114	1.22082992139236	0.912282710476616	0.542324290825362	1.36863942588117
FEX_0001837	grey	2.10046890887191	2.13416644136908	1.96571277635149	2.23964529322017	2.38967979984498	2.34851402488245	2.18492704952581	1.62136648329937	1.86872051036418	1.80664808172181	2.2935443483419	1.93441576962958	2.2554934854602	2.46979301197795	2.35327820730956	1.52822785700856
FEX_0001839	darkgrey	0.157003748809665	NA	0.27002713721306	0.139761942375159	0.122217632724249	0.148420005118273	0.131028262406404	0.113328685307003	0.00995033085316809	0.0295588022415444	0.0769610411361284	0.0769610411361284	0.0953101798043249	0.122217632724249	0.0676586484738149	0.131028262406404
FEX_0001840	grey	0.165514438477573	0.104360015324243	0.198850858745165	0.371563556432483	0.314810739840034	0.0953101798043249	0.438254930931155	0.0582689081239758	0.198850858745165	0.364643113587909	0.048790164169432	0.22314355131421	0.19062035960865	0.113328685307003	0.198850858745165	0.0769610411361284
FEX_0001841	blue	0.207014169384326	0.182321556793955	0.392042087776024	0.405465108108164	0.0769610411361284	0.0582689081239758	0.0861776962410524	0.139761942375159	NA	0.506817602368452	0.00995033085316809	0.104360015324243	0.198850858745165	0.148420005118273	0.113328685307003	0.60431596685333
FEX_0001842	grey	0.113328685307003	0.22314355131421	0.0676586484738149	0.139761942375159	0.0198026272961797	0.246860077931526	0.113328685307003	0.131028262406404	0.0582689081239758	0.0198026272961797	0.0392207131532813	0.148420005118273	0.0392207131532813	0.0861776962410524	0.0392207131532813	0.198850858745165
FEX_0001843	blue	0.300104592450338	0.3293037471426	0.802001585472027	0.246860077931526	0.0295588022415444	0.139761942375159	0.215111379616945	0.0392207131532813	0.770108221696074	0.854415328156068	0.693147180559945	0.636576829071551	0.932164081030445	0.542324290825362	0.173953307123438	1.33500106673234
FEX_0001844	grey	0.0676586484738149	NA	0.262364264467491	NA	0.113328685307003	0.198850858745165	0.148420005118273	0.0769610411361284	0.19062035960865	0.0676586484738149	0.139761942375159	0.0769610411361284	NA	0.0769610411361284	0.173953307123438	NA
FEX_0001846	blue	0.678033542749897	0.512823626428664	1.57484646766448	0.832909122935104	NA	NA	NA	NA	1.52388002407245	1.41585316336144	0.802001585472027	1.40118297361364	1.5810384379124	0.912282710476616	0.494696241836107	1.99605993274078
FEX_0001850	grey	2.87919845729804	3.35270717250172	4.29155473150981	3.73217837850908	3.46229248102197	3.0750054544485	2.82790516291049	3.5470278298737	2.78562833574758	3.75091484503339	2.52972066557779	3.85862222870103	4.26098830629683	4.14106910239497	3.08190996979504	3.97198858659558
FEX_0001851	grey	2.05540496385159	1.95018670582257	2.34564458245449	2.35517754311322	2.73501664933202	2.35801979988215	2.71997877196748	2.87299950817169	1.15057202759882	1.57897870494939	1.28093384546206	1.9387416595767	2.47653840011748	2.54553127160443	2.00417905717929	2.28645571106416
FEX_0001852	grey	2.35801979988215	2.484906649788	1.84371920815877	2.9704144655697	2.21266038546606	2.5408142817263	2.04510886259933	2.08442908319087	1.85629799036563	1.7281094421516	1.74571553072665	1.66013102674962	1.79674701073909	2.22245904851476	1.95586047990848	1.95868534054404
FEX_0001854	blue	3.75910489900343	3.63336674418368	3.41345527905766	3.64466629943761	3.92276510196005	3.86325284105872	3.47041245068363	3.3282682016394	3.71039629757619	3.54066942694875	3.44329855768079	3.61926138723307	3.84631046206276	3.91879998970717	3.78759292704997	2.97195174488859
FEX_0001855	blue	3.17010566049877	3.63283806323031	4.91559174540936	3.784416880823	3.87763857856632	3.67376581630389	3.02286094094224	3.16336311493794	3.21967550503877	4.26464976652031	3.89141205152402	4.3961760577783	5.13720920615328	4.85288926986834	3.97518558038579	6.08144235322621
